Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wählende;ungültig;gültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke
1;Schleswig-Holstein;E;Zusammen;2262811;1889968;13739;1876229;424485;573541;279298;67541;302259;0;115098
1;Schleswig-Holstein;E;Urne;2262811;1345706;10583;1335123;296852;398207;179733;48275;249806;0;87101
1;Schleswig-Holstein;E;Brief;0;544262;3156;541106;127633;175334;99565;19266;52453;0;27997
1;Schleswig-Holstein;Z;Zusammen;2262811;1889968;9963;1880005;352546;518424;279923;88147;306165;0;146428
1;Schleswig-Holstein;Z;Urne;2262811;1345706;8219;1337487;245706;355584;179836;63957;252335;0;109229
1;Schleswig-Holstein;Z;Brief;0;544262;1744;542518;106840;162840;100087;24190;53830;0;37199
13;Mecklenburg-Vorpommern;E;Zusammen;1294729;1029038;11315;1017723;179547;205786;36898;29339;376846;0;144778
13;Mecklenburg-Vorpommern;E;Urne;1294729;731650;8687;722963;114964;134475;21126;20303;305306;0;98309
13;Mecklenburg-Vorpommern;E;Brief;0;297388;2628;294760;64583;71311;15772;9036;71540;0;46469
13;Mecklenburg-Vorpommern;Z;Zusammen;1294729;1029038;7796;1021242;126687;181956;54719;32678;357361;0;123059
13;Mecklenburg-Vorpommern;Z;Urne;1294729;731650;6592;725058;80712;118176;32275;23159;291168;0;83948
13;Mecklenburg-Vorpommern;Z;Brief;0;297388;1204;296184;45975;63780;22444;9519;66193;0;39111
2;Hamburg;E;Zusammen;1299289;1050805;8507;1042298;292325;232067;214621;35299;114714;0;129995
2;Hamburg;E;Urne;1299289;622971;5822;617149;172020;125164;115110;20532;86829;0;84733
2;Hamburg;E;Brief;0;427834;2685;425149;120305;106903;99511;14767;27885;0;45262
2;Hamburg;Z;Zusammen;1299289;1050805;5185;1045620;237740;216935;201713;47115;113608;0;151115
2;Hamburg;Z;Urne;1299289;622971;3974;618997;137702;115771;108444;27687;85508;0;96659
2;Hamburg;Z;Brief;0;427834;1211;426623;100038;101164;93269;19428;28100;0;54456
3;Niedersachsen;E;Zusammen;6043412;5041312;36097;5005215;1469704;1558417;487326;148320;881225;0;321569
3;Niedersachsen;E;Urne;6043412;3737565;28477;3709088;1063616;1120273;324765;109639;747056;0;249905
3;Niedersachsen;E;Brief;0;1303747;7620;1296127;406088;438144;162561;38681;134169;0;71664
3;Niedersachsen;Z;Zusammen;6043412;5041312;25976;5015336;1153523;1410418;576845;205163;894540;0;405519
3;Niedersachsen;Z;Urne;6043412;3737565;22112;3715453;825113;1008442;390555;153233;756144;0;311657
3;Niedersachsen;Z;Brief;0;1303747;3864;1299883;328410;401976;186290;51930;138396;0;93862
4;Bremen;E;Zusammen;450564;350366;3286;347080;95267;78673;53287;9664;52638;0;44408
4;Bremen;E;Urne;450564;234530;2367;232163;62441;48882;32055;6413;42951;0;31371
4;Bremen;E;Brief;0;115836;919;114917;32826;29791;21232;3251;9687;0;13037
