YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-4.30,-3.00,0.40,9.70,11.70,17.30,20.00,17.90,14.30,6.30,2.80,-0.21,-3.18,7.27,18.40,7.80,7.57
1881,-7.71,-2.91,-0.11,5.09,13.79,16.79,19.09,16.99,12.39,4.59,2.19,-1.23,-3.61,6.26,17.62,6.39,6.66
1882,0.17,0.57,6.47,9.47,13.77,16.27,20.37,17.17,15.37,6.57,1.97,-2.03,-0.16,9.90,17.94,7.97,8.91
1883,-4.04,-1.54,-2.54,5.96,12.86,18.46,19.16,17.06,13.96,8.26,3.46,-0.66,-2.54,5.43,18.23,8.56,7.42
1884,-0.26,1.94,2.44,5.34,12.74,18.94,19.64,16.84,15.14,6.94,0.64,1.63,0.34,6.84,18.47,7.57,8.31
1885,-3.77,-0.47,2.23,9.43,11.93,19.03,19.63,15.03,13.23,8.43,0.53,-1.89,-0.87,7.86,17.90,7.40,8.07
1886,-2.59,-5.79,-3.69,9.41,14.01,16.21,17.91,18.21,15.21,6.91,4.11,0.10,-3.42,6.58,17.44,8.74,7.33
1887,-2.90,-3.30,-0.40,7.70,12.60,14.90,19.80,16.30,14.60,6.00,3.10,-2.22,-2.03,6.63,17.00,7.90,7.38
1888,-6.42,-5.62,-1.92,6.28,13.58,16.38,16.68,16.88,13.18,7.48,0.78,-1.53,-4.75,5.98,16.65,7.15,6.25
1889,-6.33,-3.83,-2.83,7.87,17.87,19.97,18.27,16.77,10.77,9.57,3.17,-3.55,-3.90,7.64,18.34,7.84,7.48
1890,0.15,-3.35,3.75,10.45,16.05,15.55,18.85,20.85,13.25,6.45,3.05,-7.16,-2.25,10.08,18.42,7.58,8.46
1891,-4.75,-3.66,2.04,6.04,15.34,16.24,18.94,16.84,13.94,9.94,1.04,0.12,-5.19,7.81,17.34,8.31,7.07
1892,-4.58,-1.88,0.72,6.92,14.22,17.72,17.92,20.62,16.52,7.52,0.82,-3.49,-2.11,7.29,18.75,8.29,8.05
1893,-13.09,-1.59,2.11,5.61,12.71,17.91,19.51,17.31,12.61,10.41,1.21,0.09,-6.06,6.81,18.24,8.08,6.77
1894,-5.31,-0.81,4.19,9.89,14.39,15.19,20.39,17.19,10.39,7.49,3.19,-1.02,-2.01,9.49,17.59,7.02,8.02
1895,-2.82,-6.82,-0.22,8.38,15.38,18.48,20.18,18.08,14.48,7.98,2.38,-3.54,-3.55,7.85,18.91,8.28,7.87
1896,-4.33,-1.44,4.06,6.06,12.96,19.36,20.56,17.26,13.26,11.26,-0.44,-2.65,-3.10,7.69,19.06,8.03,7.92
1897,-5.15,-2.55,3.55,8.15,15.25,18.65,18.65,19.15,12.95,7.05,0.85,-1.87,-3.45,8.98,18.82,6.95,7.82
