zakres;podejście;podejście2;przedmiot1;przedmiot2;przedmiot3;abstrakty;etykiety1;etykiety2
empiryczny;generalizujące;generalizujące;celebryci;celebryci jako kategoria/zbiór;celebryci jako kategoria/zbiór - 74(12,6%);74;12,6%;74(12,6%)
empiryczny;generalizujące;generalizujące;media;medium/gatunek/typ przekazu;medium/gatunek/typ przekazu - 52(8,90%);52;8,9%;52(8,90%)
empiryczny;generalizujące;generalizujące;inne;dyskurs;dyskurs - 25(4,26%);25;4,26%;25(4,26%)
empiryczny;generalizujące;generalizujące;inne;problem społeczny;problem społeczny - 15(2,59%);15;2,59%;15(2,59%)
nieempiryczny;meta;nieempiryczne;inne;teoria;teoria - 21(3,58%);21;3,58%;21(3,58%)
nieempiryczny;meta;nieempiryczne;inne;metodologia;metodologia - 8(1,36%);8;1,36%;8(1,36%)
empiryczny;generalizujące;generalizujące;inne;widownia/fandom;widownia/fandom - 35(5,97%);35;5,97%;35(5,97%)
empiryczny;generalizujące;generalizujące;inne;przemysły celebryckie;przemysły celebryckie - 8(1,36%);8;1,36%;8(1,36%)
empiryczny;anegdotyczno-kazuistyczne;indywidualizujące;celebryci;pojedynczy celebryta;pojedynczy celebryta - 239(40,78%);239;40,78%;239(40,78%)
empiryczny;anegdotyczno-kazuistyczne;indywidualizujące;media;pojedynczy tekst kultury;pojedynczy tekst kultury - 50(8,53%);50;8,53%;50(8,53%)
empiryczny;anegdotyczno-kazuistyczne;indywidualizujące;celebryci;porównanie dwóch celebrytów;porównanie dwóch celebrytów - 37(6,31%);37;6,31%;37(6,31%)
empiryczny;anegdotyczno-kazuistyczne;indywidualizujące;celebryci;porównanie więcej niż dwóch celebrytów;porównanie więcej niż dwóch celebrytów - 22(3,75%);22;3,75%;22(3,75%)
