"","number","title","rok","words","author"
"1","1","Krew elfów",1994,101588,"Sapkowski"
"2","2","Czas pogardy",1995,103550,"Sapkowski"
"3","3","Chrzest ognia ",1996,111788,"Sapkowski"
"4","4","Wieża Jaskółki",1997,143893,"Sapkowski"
"5","5","Pani Jeziora",1999,161727,"Sapkowski"
"6","1","A Game of Thrones",1996,292727,"Martin"
"7","2","A Clash of Kings",1999,318903,"Martin"
"8","3","A Storm of Swords",2000,414604,"Martin"
"9","4","A Feast for Crows",2005,295032,"Martin"
"10","5","A Dance with Dragons",2011,414788,"Martin"
"11","6","The Winds of Winter",NA,NA,"Martin"
"12","7","A Dream of Spring",NA,NA,"Martin"
