nazwisko,stronnictwo,stronnictwo2,narodziny,śmierć,start,end
Tadeusz Mazowiecki,KO „S”,NA,1927,2013,1989-08-24,1991-01-04
Jan Krzysztof Bielecki,KLD,NA,1951,NA,1991-01-04,1991-12-06
Jan Olszewski,PC,NA,1930,2019,1991-12-06,1992-06-05
Waldemar Pawlak,PSL,NA,1959,NA,1992-06-05,1992-07-10
Hanna Suchocka,UD,NA,1946,NA,1992-07-10,1993-10-26
Waldemar Pawlak,PSL,NA,1959,NA,1993-10-26,1995-03-07
Józef Oleksy,SLD, SdRP,1946,2015,1995-03-07,1996-02-07
Włodzimierz Cimoszewicz,SLD,NA,1950,NA,1996-02-07,1997-10-31
Jerzy Buzek,AWS, RS AWS,1940,NA,1997-10-31,2001-10-19
Leszek Miller,SLD,NA,1946,NA,2001-10-19,2004-05-02
Marek Belka,SLD,NA,1952,NA,2004-05-02,2004-06-11
Marek Belka,SLD,NA,1952,NA,2004-06-11,2005-10-31
Kazimierz Marcinkiewicz,PiS,NA,1959,NA,2005-10-31,2006-07-14
Jarosław Kaczyński,PiS,NA,1949,NA,2006-07-14,2007-11-16
Donald Tusk,PO,NA,1957,NA,2007-11-16,2011-11-18
Donald Tusk,PO,NA,1957,NA,2011-11-18,2014-09-22
Ewa Kopacz,PO,NA,1956,NA,2014-09-22,2015-11-16
Beata Szydło,PiS,NA,1963,NA,2015-11-16,2017-12-11
Mateusz Morawiecki,PiS,NA,1968,NA,2017-12-11,2019-11-15
Mateusz Morawiecki,PiS,NA,1968,NA,2019-11-15,2023-11-27
Mateusz Morawiecki,PiS,NA,1968,NA,2023-11-27,2023-12-13
Donald Tusk,PO,NA,1957,NA,2023-12-13,NA
