country_name,country_code,gdp_percap
Aruba,ABW,30559.5335346581
Africa Eastern and Southern,AFE,1628.02452570959
Afghanistan,AFG,357.261152798144
Africa Western and Central,AFW,1777.23501216669
Angola,AGO,2929.69445467272
Albania,ALB,6846.42614266044
Andorra,AND,42414.0590092117
Arab World,ARB,7658.40646973315
United Arab Emirates,ARE,49899.0652978649
Argentina,ARG,13935.6811110049
Armenia,ARM,6571.97445545099
American Samoa,ASM,18017.4589383973
Antigua and Barbuda,ATG,20117.7653310355
Australia,AUS,64997.0136536475
Austria,AUT,52176.6649141178
Azerbaijan,AZE,7770.594223351
Burundi,BDI,250.634225368744
Belgium,BEL,50807.2047084918
Benin,BEN,1264.70765976655
Burkina Faso,BFA,836.118304593682
Bangladesh,BGD,2716.48592677835
Bulgaria,BGR,13644.201582807
Bahrain,BHR,30616.2610677495
"Bahamas, The",BHS,33044.388209429
Bosnia and Herzegovina,BIH,7655.59421024383
Belarus,BLR,7994.64806074889
Belize,BLZ,7068.45478269722
Bermuda,BMU,120897.311155385
Bolivia,BOL,3643.92826968677
Brazil,BRA,9281.33334441234
Barbados,BRB,22164.0260273876
Brunei Darussalam,BRN,36632.9280421411
Bhutan,BTN,3711.32767902157
Botswana,BWA,8329.04032229144
Central African Republic,CAF,467.359825026238
Canada,CAN,55509.393176404
Central Europe and the Baltics,CEB,19502.8169309088
Switzerland,CHE,93245.7952120851
Channel Islands,CHI,67627.3082341446
Chile,CHL,15451.1319576678
China,CHN,12662.5826712038
Cote d'Ivoire,CIV,2308.70654660366
Cameroon,CMR,1604.87726954895
"Congo, Dem. Rep.",COD,642.612265820033
"Congo, Rep.",COG,2620.83804267402
Colombia,COL,6674.59601948063
Comoros,COM,1489.49566257969
Cabo Verde,CPV,4323.31362665974
Costa Rica,CRI,13625.9008491328
Caribbean small states,CSS,15564.5576210508
Curacao,CUW,20501.7522782219
Cayman Islands,CYM,92202.1478031576
Cyprus,CYP,33938.9453125
Czechia,CZE,28282.2236715857
Germany,DEU,49686.1154582583
