YEAR,ta,td,date
1880,7.57,-3.18,1880-01-01
1881,6.66,-3.61,1881-01-01
1882,8.91,-0.16,1882-01-01
1883,7.42,-2.54,1883-01-01
1884,8.31,0.34,1884-01-01
1885,8.07,-0.87,1885-01-01
1886,7.33,-3.42,1886-01-01
1887,7.38,-2.03,1887-01-01
1888,6.25,-4.75,1888-01-01
1889,7.48,-3.9,1889-01-01
1890,8.46,-2.25,1890-01-01
1891,7.07,-5.19,1891-01-01
1892,8.05,-2.11,1892-01-01
1893,6.77,-6.06,1893-01-01
1894,8.02,-2.01,1894-01-01
1895,7.87,-3.55,1895-01-01
1896,7.92,-3.1,1896-01-01
1897,7.82,-3.45,1897-01-01
1898,8,-0.84,1898-01-01
1899,8.45,0.75,1899-01-01
1900,7.72,-2.5,1900-01-01
1901,7.92,-3.38,1901-01-01
1902,6.81,0.04,1902-01-01
1903,8.02,-1.95,1903-01-01
1904,7.07,-1.89,1904-01-01
1905,7.93,-1.71,1905-01-01
1906,8.56,-1.11,1906-01-01
1907,6.88,-4.43,1907-01-01
1908,7.07,-1.92,1908-01-01
1909,6.88,-4.56,1909-01-01
1910,8.65,0.82,1910-01-01
1911,8.61,-0.95,1911-01-01
1912,7.05,-3,1912-01-01
1913,8.21,-0.77,1913-01-01
1914,8.23,-0.36,1914-01-01
1915,7.97,0.15,1915-01-01
1916,8.37,0.38,1916-01-01
1917,7.66,-3.67,1917-01-01
1918,8.42,-1.67,1918-01-01
1919,7.12,-1.36,1919-01-01
1920,8.68,-1.03,1920-01-01
1921,8.8,-0.92,1921-01-01
1922,6.81,-4.21,1922-01-01
1923,7.92,-0.84,1923-01-01
1924,6.86,-4.77,1924-01-01
1925,8.29,0.87,1925-01-01
1926,8.39,-1.12,1926-01-01
1927,7.87,-2.19,1927-01-01
1928,7.39,-2.78,1928-01-01
1929,6.17,-7.8,1929-01-01
1930,8.99,0.46,1930-01-01
1931,7.29,-2.66,1931-01-01
1932,8.31,-2.13,1932-01-01
1933,7.14,-2.98,1933-01-01
1934,8.97,-2.82,1934-01-01
1935,7.9,-2.07,1935-01-01
1936,8.8,-0.33,1936-01-01
1937,8.99,-2.06,1937-01-01
1938,NA,-0.29,1938-01-01
1939,NA,NA,1939-01-01
1940,NA,NA,1940-01-01
1941,NA,NA,1941-01-01
1942,NA,NA,1942-01-01
1943,NA,NA,1943-01-01
1944,NA,NA,1944-01-01
1945,NA,NA,1945-01-01
1946,NA,NA,1946-01-01
1947,NA,NA,1947-01-01
1948,NA,NA,1948-01-01
1949,NA,NA,1949-01-01
1950,NA,NA,1950-01-01
1951,8.55,-2.6,1951-01-01
1952,7.63,-1.84,1952-01-01
1953,8.31,-2.45,1953-01-01
1954,6.96,-6.22,1954-01-01
1955,7.83,-0.82,1955-01-01
1956,6.17,-4.04,1956-01-01
1957,NA,0.51,1957-01-01
1958,6.64,-0.84,1958-01-01
1959,8.58,-0.47,1959-01-01
1960,7.63,-2.56,1960-01-01
1961,8.98,0.51,1961-01-01
1962,7.24,-2,1962-01-01
1963,6.38,-8.19,1963-01-01
1964,6.61,-8.72,1964-01-01
1965,6.47,-5.19,1965-01-01
1966,8.66,-3.54,1966-01-01
1967,9.14,-2.64,1967-01-01
1968,8.68,-4.73,1968-01-01
1969,7.11,-7.7,1969-01-01
1970,5.93,-11.07,1970-01-01
1971,7.46,-3.55,1971-01-01
1972,8.54,-2.76,1972-01-01
1973,NA,NA,1973-01-01
1974,NA,NA,1974-01-01
1975,NA,NA,1975-01-01
1976,6.91,-1.81,1976-01-01
1977,8.32,-0.79,1977-01-01
1978,7.51,-2.02,1978-01-01
1979,7,-5.19,1979-01-01
1980,7.03,-1.93,1980-01-01
1981,8.46,-1.41,1981-01-01
1982,8.3,-2.85,1982-01-01
1983,9.53,0.77,1983-01-01
1984,8.38,-0.53,1984-01-01
1985,6.86,-6.02,1985-01-01
1986,8.01,-2.95,1986-01-01
1987,6.75,-4.25,1987-01-01
1988,8.63,0.92,1988-01-01
1989,9.72,2.54,1989-01-01
1990,9.81,2.89,1990-01-01
1991,8.4,-1.31,1991-01-01
1992,8.99,-0.33,1992-01-01
1993,7.93,-0.39,1993-01-01
1994,9.32,0.8,1994-01-01
1995,9.13,1,1995-01-01
1996,7.26,-5.25,1996-01-01
1997,7.73,-2.36,1997-01-01
1998,8.78,1.41,1998-01-01
1999,9.27,-0.92,1999-01-01
2000,9.9,0.92,2000-01-01
2001,9.22,0.54,2001-01-01
2002,9.84,-0.09,2002-01-01
2003,8,-4.55,2003-01-01
2004,8.67,-1.07,2004-01-01
2005,8.9,-0.07,2005-01-01
2006,8.61,-3.93,2006-01-01
2007,10.03,2.37,2007-01-01
2008,9.85,1.54,2008-01-01
2009,9.13,-0.58,2009-01-01
2010,8.38,-3.71,2010-01-01
2011,8.64,-3.06,2011-01-01
2012,9.26,-1.57,2012-01-01
2013,8.29,-2.5,2013-01-01
2014,10.06,0.6,2014-01-01
2015,10.11,1.22,2015-01-01
2016,10.14,1.75,2016-01-01
2017,9.41,-1.06,2017-01-01
2018,10.59,0.07,2018-01-01
2019,10.93,1.12,2019-01-01
2020,10.71,3.4,2020-01-01
2021,9.27,-0.47,2021-01-01
2022,9.94,1.14,2022-01-01
2023,10.66,1.79,2023-01-01
2024,11.76,2.72,2024-01-01
