name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Abraham Lincoln,UNITED STATES,USA,37.571111,-85.738611,North America,1809,Male,GOVERNMENT,INSTITUTIONS,5.801386687,27.93858549,504925.2748
Aristotle,Greece,GRC,40.333333,23.5,Europe,-384,Male,PHILOSOPHY,HUMANITIES,11.91459682,31.99379508,370757.7105
Ayn Rand,Russia,RUS,59.95,30.3,Europe,1905,Female,LANGUAGE,HUMANITIES,3.175684852,24.32593556,258331.2364
Andre Agassi,UNITED STATES,USA,36.121514,-115.173851,North America,1970,Male,INDIVIDUAL SPORTS,SPORTS,6.242524524,20.92599929,162956.9565
Aldous Huxley,UNITED KINGDOM,GBR,51.185,-0.61,Europe,1894,Male,LANGUAGE,HUMANITIES,6.219842058,25.99660548,149498.7097
Andrei Tarkovsky,Russia,RUS,NA,NA,Europe,1932,Male,FILM AND THEATRE,ARTS,9.298781801,25.24470117,78511.82353
Arthur Schopenhauer,POLAND,POL,54.35,18.633333,Europe,1788,Male,PHILOSOPHY,HUMANITIES,12.66621467,27.7760199,147123.7975
Albert Einstein,Germany,DEU,48.4,9.983333,Europe,1879,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,11.50120142,30.21061426,540789.6988
Alexander the Great,Greece,GRC,40.8,22.516667,Europe,-356,Male,MILITARY,INSTITUTIONS,11.18240645,31.58395203,350421.3623
Alfred Hitchcock,UNITED KINGDOM,GBR,51.569,0.01,Europe,1899,Male,FILM AND THEATRE,ARTS,8.349060938,27.17598213,232167.01
Attila the Hun,Hungary,HUN,NA,NA,Europe,406,Male,GOVERNMENT,INSTITUTIONS,13.97581312,29.24332716,134013.2892
Alfred Nobel,SWEDEN,SWE,59.329444,18.068611,Europe,1833,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,13.78529862,27.64615987,110079.1468
Alexander Graham Bell,UNITED KINGDOM,GBR,55.953056,-3.188889,Europe,1847,Male,INVENTION,SCIENCE & TECHNOLOGY,8.199693285,26.92276279,202016.1702
Andy Warhol,UNITED STATES,USA,40.439722,-79.976389,North America,1928,Male,FINE ARTS,ARTS,7.526343155,27.91983828,343545.84
