from,to,IC
Muklas,Amrozi,2
Muklas,Imron,2
Muklas,Samudra,1
Muklas,Dulmatin,1
Muklas,Idris,5
Muklas,Husin,1
Muklas,Ghoni,1
Muklas,Patek,1
Muklas,Sarijo,1
Amrozi,Samudra,2
Amrozi,Idris,4
Amrozi,Mubarok,5
Imron,Samudra,3
Imron,Dulmatin,3
Imron,Idris,3
Imron,Husin,3
Imron,Ghoni,3
Imron,Patek,3
Imron,Feri,1
Imron,Sarijo,3
Samudra,Dulmatin,2
Samudra,Idris,5
Samudra,Mubarok,2
Samudra,Husin,2
Samudra,Ghoni,2
Samudra,Arnasan,2
Samudra,Rauf,2
Samudra,Octavia,2
Samudra,Hidayat,2
Samudra,Junaedi,2
Samudra,Patek,2
Samudra,Sarijo,2
Dulmatin,Idris,2
Dulmatin,Husin,3
Dulmatin,Ghoni,3
Dulmatin,Patek,3
Dulmatin,Feri,1
Dulmatin,Sarijo,3
Idris,Mubarok,2
Idris,Husin,2
Idris,Ghoni,2
Idris,Patek,2
Idris,Sarijo,2
Husin,Ghoni,3
Husin,Patek,2
Husin,Feri,1
Husin,Sarijo,2
Ghoni,Patek,3
Ghoni,Feri,1
Ghoni,Sarijo,3
Arnasan,Rauf,2
Arnasan,Octavia,2
Arnasan,Hidayat,2
Arnasan,Junaedi,2
Rauf,Octavia,2
Rauf,Hidayat,2
Rauf,Junaedi,2
Octavia,Hidayat,2
Octavia,Junaedi,2
Hidayat,Junaedi,2
Patek,Feri,1
Patek,Sarijo,3
Feri,Sarijo,1
