doc_id,sentence_id,token_id,token,lemma,pos,tag,kandydat
text1,1,1,Nice,nice,ADJ,JJ,Harris
text1,1,2,to,to,PART,TO,Harris
text1,1,3,see,see,VERB,VB,Harris
text1,1,4,you,you,PRON,PRP,Harris
text1,1,5,.,.,PUNCT,.,Harris
text1,2,1,Have,have,VERB,VB,Harris
text1,2,2,fun,fun,NOUN,NN,Harris
text1,2,3,.,.,PUNCT,.,Harris
text2,1,1,Thank,thank,VERB,VBP,Harris
text2,1,2,you,you,PRON,PRP,Harris
text2,1,3,.,.,PUNCT,.,Harris
text3,1,1,First,first,ADV,RB,Harris
text3,1,2,of,of,ADP,IN,Harris
text3,1,3,all,all,PRON,DT,Harris
text3,1,4,",",",",PUNCT,",",Harris
text3,1,5,I,I,PRON,PRP,Harris
text3,1,6,have,have,VERB,VBP,Harris
text3,1,7,no,no,DET,DT,Harris
text3,1,8,sales,sale,NOUN,NNS,Harris
text3,1,9,tax,tax,NOUN,NN,Harris
text3,1,10,.,.,PUNCT,.,Harris
text3,2,1,That,that,PRON,DT,Harris
text3,2,2,'s,be,AUX,VBZ,Harris
text3,2,3,an,an,DET,DT,Harris
text3,2,4,incorrect,incorrect,ADJ,JJ,Harris
text3,2,5,statement,statement,NOUN,NN,Harris
text3,2,6,.,.,PUNCT,.,Harris
text3,3,1,She,she,PRON,PRP,Harris
text3,3,2,knows,know,VERB,VBZ,Harris
text3,3,3,that,that,PRON,DT,Harris
text3,3,4,.,.,PUNCT,.,Harris
text3,4,1,We,we,PRON,PRP,Harris
text3,4,2,'re,be,AUX,VBP,Harris
text3,4,3,doing,do,VERB,VBG,Harris
text3,4,4,tariffs,tariff,NOUN,NNS,Harris
text3,4,5,on,on,ADP,IN,Harris
text3,4,6,other,other,ADJ,JJ,Harris
text3,4,7,countries,country,NOUN,NNS,Harris
text3,4,8,.,.,PUNCT,.,Harris
text3,5,1,Other,other,ADJ,JJ,Harris
text3,5,2,countries,country,NOUN,NNS,Harris
text3,5,3,are,be,AUX,VBP,Harris
text3,5,4,going,go,VERB,VBG,Harris
text3,5,5,to,to,PART,TO,Harris
text3,5,6,finally,finally,ADV,RB,Harris
text3,5,7,",",",",PUNCT,",",Harris
text3,5,8,after,after,ADP,IN,Harris
text3,5,9,75,75,NUM,CD,Harris
text3,5,10,years,year,NOUN,NNS,Harris
text3,5,11,",",",",PUNCT,",",Harris
text3,5,12,pay,pay,VERB,VB,Harris
text3,5,13,us,we,PRON,PRP,Harris
text3,5,14,back,back,ADV,RB,Harris
text3,5,15,for,for,ADP,IN,Harris
text3,5,16,all,all,PRON,DT,Harris
text3,5,17,that,that,PRON,WDT,Harris
text3,5,18,we,we,PRON,PRP,Harris
text3,5,19,'ve,'ve,AUX,VBP,Harris
text3,5,20,done,do,VERB,VBN,Harris
text3,5,21,for,for,ADP,IN,Harris
text3,5,22,the,the,DET,DT,Harris
text3,5,23,world,world,NOUN,NN,Harris
text3,5,24,.,.,PUNCT,.,Harris
text3,6,1,And,and,CCONJ,CC,Harris
text3,6,2,the,the,DET,DT,Harris
text3,6,3,tariff,tariff,NOUN,NN,Harris
text3,6,4,will,will,AUX,MD,Harris
text3,6,5,be,be,AUX,VB,Harris
text3,6,6,substantial,substantial,ADJ,JJ,Harris
text3,6,7,in,in,ADP,IN,Harris
text3,6,8,some,some,DET,DT,Harris
text3,6,9,cases,case,NOUN,NNS,Harris
text3,6,10,.,.,PUNCT,.,Harris
text3,7,1,I,I,PRON,PRP,Harris
text3,7,2,took,take,VERB,VBD,Harris
text3,7,3,in,in,ADP,RP,Harris
text3,7,4,billions,billion,NOUN,NNS,Harris
text3,7,5,and,and,CCONJ,CC,Harris
text3,7,6,billions,billion,NOUN,NNS,Harris
text3,7,7,of,of,ADP,IN,Harris
text3,7,8,dollars,dollar,NOUN,NNS,Harris
text3,7,9,",",",",PUNCT,",",Harris
text3,7,10,as,as,SCONJ,IN,Harris
text3,7,11,you,you,PRON,PRP,Harris
text3,7,12,know,know,VERB,VBP,Harris
text3,7,13,",",",",PUNCT,",",Harris
text3,7,14,from,from,ADP,IN,Harris
text3,7,15,China,China,PROPN,NNP,Harris
text3,7,16,.,.,PUNCT,.,Harris
text3,8,1,In,in,ADP,IN,Harris
text3,8,2,fact,fact,NOUN,NN,Harris
text3,8,3,",",",",PUNCT,",",Harris
text3,8,4,they,they,PRON,PRP,Harris
text3,8,5,never,never,ADV,RB,Harris
text3,8,6,took,take,VERB,VBD,Harris
text3,8,7,the,the,DET,DT,Harris
text3,8,8,tariff,tariff,NOUN,NN,Harris
text3,8,9,off,off,ADP,RP,Harris
text3,8,10,because,because,SCONJ,IN,Harris
text3,8,11,it,it,PRON,PRP,Harris
text3,8,12,was,be,AUX,VBD,Harris
text3,8,13,so,so,ADV,RB,Harris
text3,8,14,much,much,ADJ,JJ,Harris
text3,8,15,money,money,NOUN,NN,Harris
text3,8,16,",",",",PUNCT,",",Harris
text3,8,17,they,they,PRON,PRP,Harris
text3,8,18,ca,can,AUX,MD,Harris
text3,8,19,n't,not,PART,RB,Harris
text3,8,20,.,.,PUNCT,.,Harris
text3,9,1,It,it,PRON,PRP,Harris
text3,9,2,would,would,AUX,MD,Harris
text3,9,3,totally,totally,ADV,RB,Harris
text3,9,4,destroy,destroy,VERB,VB,Harris
text3,9,5,everything,everything,PRON,NN,Harris
text3,9,6,that,that,PRON,WDT,Harris
text3,9,7,they,they,PRON,PRP,Harris
text3,9,8,'ve,'ve,AUX,VBP,Harris
text3,9,9,set,set,VERB,VBN,Harris
text3,9,10,out,out,ADP,RP,Harris
text3,9,11,to,to,PART,TO,Harris
text3,9,12,do,do,VERB,VB,Harris
text3,9,13,.,.,PUNCT,.,Harris
text3,10,1,They,they,PRON,PRP,Harris
text3,10,2,'ve,'ve,AUX,VBP,Harris
text3,10,3,taken,take,VERB,VBN,Harris
text3,10,4,in,in,ADP,RP,Harris
text3,10,5,billions,billion,NOUN,NNS,Harris
text3,10,6,of,of,ADP,IN,Harris
text3,10,7,dollars,dollar,NOUN,NNS,Harris
text3,10,8,from,from,ADP,IN,Harris
text3,10,9,China,China,PROPN,NNP,Harris
text3,10,10,and,and,CCONJ,CC,Harris
text3,10,11,other,other,ADJ,JJ,Harris
text3,10,12,places,place,NOUN,NNS,Harris
text3,10,13,.,.,PUNCT,.,Harris
text3,11,1,They,they,PRON,PRP,Harris
text3,11,2,'ve,'ve,AUX,VBP,Harris
text3,11,3,left,leave,VERB,VBN,Harris
text3,11,4,the,the,DET,DT,Harris
text3,11,5,tariffs,tariff,NOUN,NNS,Harris
text3,11,6,on,on,ADP,RP,Harris
text3,11,7,.,.,PUNCT,.,Harris
text3,12,1,When,when,SCONJ,WRB,Harris
text3,12,2,I,I,PRON,PRP,Harris
text3,12,3,had,have,VERB,VBD,Harris
text3,12,4,it,it,PRON,PRP,Harris
text3,12,5,",",",",PUNCT,",",Harris
text3,12,6,I,I,PRON,PRP,Harris
text3,12,7,had,have,VERB,VBD,Harris
text3,12,8,tariffs,tariff,NOUN,NNS,Harris
text3,12,9,and,and,CCONJ,CC,Harris
text3,12,10,yet,yet,ADV,RB,Harris
text3,12,11,I,I,PRON,PRP,Harris
text3,12,12,had,have,VERB,VBD,Harris
text3,12,13,no,no,DET,DT,Harris
text3,12,14,inflation,inflation,NOUN,NN,Harris
text3,12,15,.,.,PUNCT,.,Harris
text3,13,1,Look,look,VERB,VB,Harris
text3,13,2,",",",",PUNCT,",",Harris
text3,13,3,we,we,PRON,PRP,Harris
text3,13,4,'ve,'ve,AUX,VBP,Harris
text3,13,5,had,have,VERB,VBN,Harris
