name,Ungültige,Gültige,SPD,Union,Grüne,FDP,AfD,Linke,SSW,Die PARTEI,FREIE WÄHLER,Volt,MLPD,BÜNDNIS DEUTSCHLAND,BSW,EB:Krüger-Winands,dieBasis,Team Todenhöfer,ÖDP,PdH,Tierschutzpartei,Übrige,EB:Baasch,EB:Kisifli,PIRATEN,EB:Dröse,EB:Michalsky,EB:Krüger,EB:Manske,EB:Knauer,EB:Nietfeld,EB:Bellgardt,EB:Wolter,EB:Hönig,MENSCHLICHE WELT,MERA25,Verjüngungsforschung,EB:Schultz,EB:Krämer,EB:Müller,EB:Kohle,EB:Gliese,EB:Kersten,EB:Sanftleben,EB:Hartwig,EB:Farle,BüSo,SGP,PdF,EB:Thomas,EB:Pape,EB:Wendt,EB:Heider,WerteUnion,Bündnis C,EB:Przybylski,EB:Füllmich,EB:Link,EB:Gaisenkersting,EB:Bachmann,EB:Neurauter,EB:Martinschledde,EB:Meyer,EB:Turck,EB:Schulte,EB:Busse,EB:Mauer,EB:Schubert,EB:Jäger,EB:Reitz,EB:Wächter,EB:Sollwedel,EB:Emre,EB:Stöber,EB:Hahn,EB:Pradel,EB:Papst,EB:Horn,EB:Hösch,BP,EB:Winter,EB:Lieb,EB:Treppe,EB:Dippel,EB:Zibi,EB:Hamid,EB:Dorn,EB:Wenz,EB:Demir,EB:Miller,EB:Weißer,EB:Otterbach,EB:Raidt
Flensburg – Schleswig,0.51223,99.48777,15.924417,24.850178,15.943698,3.682762,15.254255,8.292078,10.722065,0.631599,0.592515,0.755104,0.027619,0.170928,3.152782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nordfriesland – Dithmarschen Nord,0.546324,99.453676,17.420789,29.625609,12.270869,4.981853,16.063826,6.174672,8.020142,0.697773,0.7187,0.668999,0.03139,0.116405,3.208972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steinburg – Dithmarschen Süd,0.547157,99.452843,17.584757,29.233062,11.038381,5.106737,20.367191,6.632233,3.42876,0.83315,1.059124,0.84414,0.030908,0.162097,3.67946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rendsburg-Eckernförde,0.49738,99.50262,17.721357,29.2643,14.696527,4.635121,16.020181,6.344453,6.115494,0.676392,0.577934,0.567447,0.024469,0.173613,3.182713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiel,0.518615,99.481385,19.294205,19.747578,22.938025,3.948674,10.753477,13.697996,3.813985,0.87608,0.345742,1.158687,0.036679,0.111239,3.277634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plön – Neumünster,0.641472,99.358528,19.166521,28.610985,13.989695,4.3111,18.003575,6.769479,3.170586,0.695384,0.813151,0.783008,0.02804,0.124076,3.534401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinneberg,0.491753,99.508247,20.23189,28.863781,14.532985,5.060732,15.602125,7.57128,1.994792,0.682323,0.658743,1.011444,0.02358,0.193158,3.573167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Segeberg – Stormarn-Mitte,0.492553,99.507447,19.08422,29.06289,13.684926,5.213079,17.200215,7.072382,2.094447,0.803766,0.818017,1.028935,0.024227,0.220893,3.692004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostholstein – Stormarn-Nord,0.524585,99.475415,19.674656,31.149038,12.729091,5.10417,17.663922,5.956865,2.111404,0.709357,0.903363,0.727358,0.028001,0.148005,3.09477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herzogtum Lauenburg – Stormarn-Süd,0.50038,99.49962,19.256912,29.718214,13.937131,5.357462,17.176729,6.88644,1.317868,0.658934,0.857001,0.954102,0.027536,0.149275,3.702398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lübeck,0.579724,99.420276,21.119786,22.53429,17.896884,3.901667,15.653091,10.495182,1.873813,0.806781,0.707604,1.075473,0.063304,0.13927,3.732855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,0.824599,99.175401,14.489156,18.899333,5.571398,3.29355,32.257781,11.477257,NA,NA,1.160048,0.61611,0.107379,0.414261,10.358283,NA,NA,NA,NA,NA,1.355443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,0.694483,99.305517,14.227944,18.428928,4.788405,3.042838,34.77406,10.723207,NA,NA,1.162474,0.616482,0.058742,0.23806,10.558111,NA,NA,NA,NA,NA,1.380747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostock – Landkreis Rostock II,0.60801,99.39199,14.250084,16.801483,8.947871,3.402427,25.62184,17.269408,NA,NA,0.843725,0.956072,0.134816,0.308392,9.900011,NA,NA,NA,NA,NA,1.563869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorpommern-Rügen – Vorpommern-Greifswald I,0.724113,99.275887,10.346598,17.653511,6.195532,3.352514,35.47073,12.542345,NA,NA,1.150823,0.741281,0.072399,0.254478,10.142907,NA,NA,NA,NA,NA,2.076884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,0.821582,99.178418,9.773422,17.310436,2.829827,3.147515,42.850806,9.484505,NA,NA,1.016004,0.386621,0.056345,0.245759,11.393634,NA,NA,NA,NA,NA,1.505125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecklenburgische Seenplatte II – Landkreis Rostock III,0.88862,99.11138,11.410602,17.894056,3.369586,2.909669,39.832495,10.28971,NA,NA,1.024133,0.366929,0.060317,0.456776,11.145458,NA,NA,NA,NA,NA,1.240269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamburg-Mitte,0.573787,99.426213,22.185648,15.698996,20.259509,4.117735,10.523158,18.996475,NA,0.56595,0.347746,1.603347,0.067956,0.129011,4.528128,NA,NA,NA,NA,NA,0.976343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
